id,job_ad_id,company_name,average_salary,employee_count,revenue
1,1,"Žilinskis ir Co, UAB",1946 €,355,50-100 mln. €
2,2,„Vičiūnų“ įmonių grupė,,,
3,3,UAB „Green Cafe“,1270 €,31,1-2 mln. €
4,4,UAB „SEMINGA“,2851 €,14,3-5 mln. €
5,5,MV GROUP,,,
6,6,UAB „ArkAmA“,2421 €,43,3-5 mln. €
7,7,UAB „Švykai“,2813 €,73,10-20 mln. €
8,8,UAB „Electric box“,2539 €,36,3-5 mln. €
9,9,UAB „Kublita“,1189 €,22,1-2 mln. €
10,10,"Registrų Centras, VĮ",,,
11,11,Lietuvos centrinė kredito unija,3787 €,111,10-20 mln. €
12,12,Lietuvos centrinė kredito unija,3787 €,111,10-20 mln. €
13,13,UAB „ALVORA“,2695 €,182,20-30 mln. €
14,14,AS Inbank filialas,5380 €,69,
15,15,UAB „Personalo valdymo inovacijos“,,,
16,16,EPSO-G grupė,,,
17,17,TMV Capital įmonių grupė,,,
18,18,TMV Capital įmonių grupė,,,
19,19,UAB „GetJet Airlines“,3752 €,165,>100 mln. €
20,20,AB „LIETUVOS DRAUDIMAS“,7066 €,936,>100 mln. €
21,21,UAB „EHR Media“,,,
22,22,UAB „I-Photonics“,2800 €,44,5-10 mln. €
23,23,UAB „Milviteka“,2619 €,62,5-10 mln. €
24,24,UAB „RNDV Group“,2351 €,724,30-50 mln. €
25,25,Eglės sanatorija,1516 €,153,5-10 mln. €
26,26,UAB „AVS PipeFit“,2514 €,427,20-30 mln. €
27,27,UAB „Petrohim Internationa Carriers“,2305 €,10,3-5 mln. €
28,28,UAB Sveikatos centras „Energetikas“,1619 €,65,3-5 mln. €
29,29,ŽŪB „Nematekas“,,368,30-50 mln. €
30,30,AB „VILKYŠKIŲ PIENINĖ“,2603 €,408,>100 mln. €
31,31,UAB „GEALAN BALTIC“,3970 €,229,30-50 mln. €
32,32,UAB „Liepų restoranas“,1653 €,6,
33,33,AB „ŽEMAITIJOS PIENAS“,2633 €,1308,>100 mln. €
34,34,INHUS,,,
35,35,UAB „BNM Finance“,2605 €,119,3-5 mln. €
36,36,UAB „BNM Finance“,2605 €,119,3-5 mln. €
37,37,UAB „Krekenavos agrofirma“,2046 €,1072,>100 mln. €
38,38,UAB „Eika Group“,4510 €,45,5-10 mln. €
39,39,Amber Food grupė,,,
40,40,Amber Food grupė,,,
41,41,UAB „Vlantana“,,,
42,42,Amber Food grupė,,,
43,43,UAB „MAXIMA International Sourcing“,3292 €,143,>100 mln. €
44,44,UAB „Inovatyvūs restoranai“,1860 €,239,10-20 mln. €
45,45,UAB „GRIFS AG“,1304 €,1356,20-30 mln. €
46,46,ATEA grupė,,,
47,47,ATEA grupė,,,
48,48,UAB „RNDV Holding“,3615 €,87,3-5 mln. €
49,49,ATEA grupė,,,
50,50,"RSD Auto, UAB",1764 €,98,5-10 mln. €
51,51,UAB „Šviežia stotelė“,2618 €,41,3-5 mln. €
52,52,UAB „BTT Group“,3887 €,93,10-20 mln. €
53,53,METALISTAS LT UAB,2707 €,100,5-10 mln. €
54,54,UAB „BnP Finance“,2979 €,34,5-10 mln. €
55,55,"Vizirė, UAB",,2,200-300 tūkst. €
56,56,UAB „MAXIMA International Sourcing“,3292 €,143,>100 mln. €
57,57,UAB „GRIFS AG“,1304 €,1356,20-30 mln. €
58,58,UAB „GRIFS AG“,1304 €,1356,20-30 mln. €
59,59,UAB „MAXIMA International Sourcing“,3292 €,143,>100 mln. €
60,60,UAB „Dotoni“,,,
61,61,UAB „Industris“,2261 €,49,5-10 mln. €
62,62,UAB „Lido Marine“,2931 €,93,5-10 mln. €
63,63,UAB „Vilniaus vandenys“,,,
64,64,UAB „CONSTRO“,1841 €,277,10-20 mln. €
65,65,UAB „Sakalas“,2210 €,201,30-50 mln. €
66,66,UAB „Hansa Flex Hidraulika“,2461 €,137,10-20 mln. €
67,67,MB „Statymo sprendimai“,1322 €,9,200-300 tūkst. €
68,68,UAB „Eurofins Labtarna Lietuva“,2252 €,37,1-2 mln. €
69,69,AB „ŽEMAITIJOS PIENAS“,2633 €,1308,>100 mln. €
70,70,UAB „FESTO“,,601,30-50 mln. €
71,71,UAB „Genys“,2619 €,100,5-10 mln. €
72,72,"Simu engineering services, UAB",3329 €,8,500 tūkst.-1 mln. €
73,73,UAB „SPORTLAND LT“,1408 €,470,50-100 mln. €
74,74,UAB „DANTŲ HARMONIJA - DENTAL HARMONY“,3701 €,58,3-5 mln. €
75,75,UAB „Brand Club“,1014 €,10,1-2 mln. €
76,76,MB „Dokepas“,1381 €,3,500 tūkst.-1 mln. €
77,77,SBA Grupė,,,
78,78,UAB „Ekonovus“,2365 €,680,30-50 mln. €
79,79,"Techsoma, UAB",1919 €,35,
80,80,UAB „GRIFS AG“,1304 €,1356,20-30 mln. €
81,81,UAB „GRIFS AG“,1304 €,1356,20-30 mln. €
82,82,MB „Detailingas“,,20,300-500 tūkst. €
83,83,UAB „LHP LT“,2678 €,9,2-3 mln. €
84,84,Įmonių grupė „Penki kontinentai“,,,
85,85,UAB „People Link“,,,
86,86,UAB „Advantus“,,,
87,87,UAB „TAUMONA“,2181 €,116,5-10 mln. €
88,88,"Roshen Nord, UAB",5977 €,6,20-30 mln. €
89,89,UAB „Yara Lietuva“,3101 €,477,30-50 mln. €
90,90,AB „Vilniaus paukštynas“,2450 €,1330,>100 mln. €
91,91,UAB „Bariukas“,1345 €,7,500 tūkst.-1 mln. €
92,92,AB „Vilniaus paukštynas“,2450 €,1330,>100 mln. €
93,93,AB „Vilniaus paukštynas“,2450 €,1330,>100 mln. €
94,94,UAB „Litalex“,1526 €,65,300-500 tūkst. €
95,95,UAB „J&C Aero“,3280 €,177,10-20 mln. €
96,96,UAB LiproLT,,3,100-200 tūkst. €
97,97,Labdaros ir paramos fondas „Maisto bankas“,1535 €,126,20-30 mln. €
