id,job_id,job_link,job_title,job_category,job_cities,job_views,job_applications,job_salary,job_salary_period,fetched_at
1,1-13027518,https://en.cvbankas.lt/savivarcio-vairuotojas-a-kaune/1-13027518,Savivarčio vairuotojas (-a),Transport driving,"Kaunas, Kaišiadorys",1872,34,2100-2700,€/mėn.,2025-05-09 11:14
2,1-13028850,https://en.cvbankas.lt/automatinio-sandelio-operatorius-e-uab-baltic-fish-export-kaune/1-13028850,"Automatinio sandėlio operatorius (ė) UAB ""Baltic fish export""",Warehousing,"Kaunas, Jonava, Kaišiadorys",739,4,1200-1400,€/mėn.,2025-05-09 11:14
3,1-9361545,https://en.cvbankas.lt/barista-padavejas-kaune/1-9361545,BARISTA - PADAVĖJAS,Customer service/Services,Kaunas,1481,>50,818-1000,€/mėn.,2025-05-09 11:14
4,1-13028826,https://en.cvbankas.lt/pardavimo-projektu-vadybininkas-e-vilniuje/1-13028826,Pardavimo projektų vadybininkas (-ė),Sales,Vilnius,1434,>50,2500-2700,€/mėn.,2025-05-09 11:14
5,1-13028778,https://en.cvbankas.lt/krautuvo-vairuotojas-a-kaune/1-13028778,Krautuvo vairuotojas (-a),Warehousing,Kaunas,1506,15,1138-1214,€/mėn.,2025-05-09 11:14
6,1-9603875,https://en.cvbankas.lt/aukstuminio-auto-krautuvo-operatorius-e-krovejas-a-kaune/1-9603875,Aukštuminio auto krautuvo operatorius (-ė) - krovėjas (-a),Warehousing,Kaunas,430,6,1050-1300,€/mėn.,2025-05-09 11:14
7,1-11139917,https://en.cvbankas.lt/sandelininkas-e-kaune/1-11139917,Sandėlininkas (-ė),Warehousing,Kaunas,1456,30,1200-1500,€/mėn.,2025-05-09 11:14
8,1-5599027,https://en.cvbankas.lt/elektros-skydu-surinkejai-panevezyje/1-5599027,Elektros skydų surinkėjai,Energetics/electronics,Panevėžys,1278,41,1000-1450,€/mėn.,2025-05-09 11:14
9,1-12538865,https://en.cvbankas.lt/gamybos-cecho-darbuotojas-vilniuje/1-12538865,Gamybos cecho darbuotojas,Manufacturing,Vilnius,1389,38,1200-1500,€/mėn.,2025-05-09 11:14
10,1-13014003,https://en.cvbankas.lt/vyr-duomenu-mokslininkas-e-vilniuje/1-13014003,VYR. DUOMENŲ MOKSLININKAS (-Ė),Information technology,Vilnius,736,10,3520-5280,€/mėn.,2025-05-09 11:14
11,1-13028750,https://en.cvbankas.lt/produkto-vadovas-e-kaune/1-13028750,Produkto vadovas (-ė),Finance/accounting/banking,Kaunas,642,14,2000-3350,€/mėn.,2025-05-09 11:14
12,1-12925165,https://en.cvbankas.lt/produktu-ir-paslaugu-vystymo-skyriaus-vadovas-e-kaune/1-12925165,Produktų ir paslaugų vystymo skyriaus vadovas (-ė),Sales,Kaunas,623,27,3500-5600,€/mėn.,2025-05-09 11:14
13,1-13018293,https://en.cvbankas.lt/gamybos-vadovas-e-vilniuje/1-13018293,Gamybos vadovas (-ė),Construction,Vilnius,854,22,3000-3500,€/mėn.,2025-05-09 11:14
14,1-13028736,https://en.cvbankas.lt/marketing-specialist-vilniuje/1-13028736,Marketing Specialist,Marketing/advertising,Vilnius,812,30,2100-2500,€/mon.,2025-05-09 11:14
15,1-13027914,https://en.cvbankas.lt/statybos-vadovas-e-site-manager-darbas-vakaru-europoje-pakruojyje/1-13027914,"Statybos vadovas (-ė) (Site Manager), darbas Vakarų Europoje",Construction,"Pakruojis, Panevėžys, Šiauliai",729,8,5600-6700,€/mėn.,2025-05-09 11:14
16,1-12928165,https://en.cvbankas.lt/elektrike-as-pastociu-eksploatavimo-skyriuje-siauliuose/1-12928165,Elektrikė (-as) Pastočių eksploatavimo skyriuje,Engineering/mechanics,Šiauliai,351,2,1500-2500,€/mėn.,2025-05-09 11:14
17,1-12928525,https://en.cvbankas.lt/miskovezio-vairuotojas-a-hidromanipuliatoriaus-operatorius-e-marijampoleje/1-12928525,Miškovežio vairuotojas (-a) / Hidromanipuliatoriaus operatorius (-ė),Transport driving,Marijampolė,958,0,2200-2400,€/mėn.,2025-05-09 11:14
18,1-12928523,https://en.cvbankas.lt/vairuotojas-a-ekspeditorius-e-lietuvoje-miskoveziai-marijampoleje/1-12928523,Vairuotojas (-a) - ekspeditorius (-ė) Lietuvoje (miškovežiai),Transport driving,Marijampolė,862,0,1600,€/mėn.,2025-05-09 11:14
19,1-12903911,https://en.cvbankas.lt/cabin-crew-vilniuje/1-12903911,Cabin Crew,Customer service/Services,Vilnius,1187,28,,,2025-05-09 11:14
20,1-12074324,https://en.cvbankas.lt/draudimo-konsultantas-e-kaisiadoryse-kaisiadoryse/1-12074324,Draudimo konsultantas (-ė) Kaišiadoryse,Sales,Kaišiadorys,269,0,1300-3000,€/mėn.,2025-05-09 11:14
21,1-12951748,https://en.cvbankas.lt/aktyviu-pardavimu-vadybininkas-e-vilniuje/1-12951748,Aktyvių pardavimų vadybininkas (-ė),Sales,Vilnius,3294,>50,1000-4150,€/mėn.,2025-05-09 11:14
22,1-13026672,https://en.cvbankas.lt/production-support-worker-vilniuje/1-13026672,Production Support Worker,Marketing/advertising,Vilnius,629,19,1200-2000,€/mon.,2025-05-09 11:14
23,1-12052300,https://en.cvbankas.lt/pagalbinis-darbuotojas-prie-lazerio-stakliu-apmokome-gargzduose/1-12052300,Pagalbinis darbuotojas prie lazerio staklių (Apmokome!),Manufacturing,"Gargždai, Klaipėda, Kretinga",1777,>50,1000-1300,€/mėn.,2025-05-09 11:14
24,1-12277233,https://en.cvbankas.lt/elektrikas-e-prancuzu-kalba-uzsienyje/1-12277233,Elektrikas (-ė) PRANCŪZŲ KALBA,Manufacturing,Užsienis,452,3,17-20,€/val.,2025-05-09 11:14
25,1-12979521,https://en.cvbankas.lt/gydytojas-a-dietologas-e-birstone/1-12979521,Gydytojas (-a) - dietologas (-ė),Medicine/pharmacy,"Birštonas, Kaunas, Alytus",427,0,2800-3000,€/mėn.,2025-05-09 11:14
26,1-12735967,https://en.cvbankas.lt/medziagu-tiekimo-vadybininkas-e-metalo-zaliavai-klaipedoje/1-12735967,Medžiagų tiekimo vadybininkas (-ė) (metalo žaliavai),Buying/supply,"Klaipėda, Gargždai, Palanga",631,8,1983-2480,€/mėn.,2025-05-09 11:14
27,1-12977652,https://en.cvbankas.lt/inzinieriaus-darbu-vadovo-es-elektrenuose/1-12977652,INŽINIERIAUS - DARBŲ VADOVO (-ĖS),Manufacturing,Elektrėnai,300,1,1800-2000,€/mėn.,2025-05-09 11:14
28,1-6523623,https://en.cvbankas.lt/vyr-kambarine-is-palangoje/1-6523623,Vyr.kambarinė (-is),Customer service/Services,"Palanga, Klaipėda, Kretinga",941,15,1000-1200,€/mėn.,2025-05-09 11:14
29,1-13029024,https://en.cvbankas.lt/elektrokrautuvo-vairuotojas-a-kaisiadoryse/1-13029024,Elektrokrautuvo vairuotojas (-a),Warehousing,"Kaišiadorys, Elektrėnai, Kaunas",560,4,1000-1200,€/mėn.,2025-05-09 11:14
30,1-13029090,https://en.cvbankas.lt/maisto-produktu-technologas-e-kelmeje-kelmeje/1-13029090,Maisto produktų technologas (-ė) (Kelmėje),Catering,"Kelmė, Šiauliai, Raseiniai",538,7,1700-2455,€/mėn.,2025-05-09 11:14
31,1-13029106,https://en.cvbankas.lt/gamybos-operatorius-vilniuje/1-13029106,Gamybos operatorius,Manufacturing,"Vilnius, Trakai, Lentvaris",2116,32,2000-2800,€/mėn.,2025-05-09 11:14
